Número de documentos(preguntas) del corpus : 997
Número de palabras del corpus: 8455
Palabra: 70 Frec: 0 LogProb: -14.243397155418775
Palabra: 700 Frec: 0 LogProb: -14.243397155418775
Palabra: 701 Frec: 0 LogProb: -14.243397155418775
Palabra: 7129 Frec: 0 LogProb: -14.243397155418775
Palabra: 77 Frec: 0 LogProb: -14.243397155418775
Palabra: 777 Frec: 0 LogProb: -14.243397155418775
Palabra: 7a2e0f92 Frec: 0 LogProb: -14.243397155418775
Palabra: 8 Frec: 37 LogProb: -8.995469641975188
Palabra: 80 Frec: 0 LogProb: -14.243397155418775
Palabra: 800 Frec: 0 LogProb: -14.243397155418775
Palabra: 8000 Frec: 0 LogProb: -14.243397155418775
Palabra: 80020009 Frec: 0 LogProb: -14.243397155418775
Palabra: 8080 Frec: 0 LogProb: -14.243397155418775
Palabra: 8859 Frec: 0 LogProb: -14.243397155418775
Palabra: 8i Frec: 0 LogProb: -14.243397155418775
Palabra: 9 Frec: 2 LogProb: -12.658434654697617
Palabra: 90 Frec: 0 LogProb: -14.243397155418775
Palabra: 91 Frec: 0 LogProb: -14.243397155418775
Palabra: 95 Frec: 0 LogProb: -14.243397155418775
Palabra: 97 Frec: 0 LogProb: -14.243397155418775
Palabra: 99 Frec: 0 LogProb: -14.243397155418775
Palabra: 9am Frec: 0 LogProb: -14.243397155418775
Palabra: 9i Frec: 0 LogProb: -14.243397155418775
Palabra: _ Frec: 6 LogProb: -11.436042233361169
Palabra: ____ Frec: 0 LogProb: -14.243397155418775
Palabra: __line__ Frec: 0 LogProb: -14.243397155418775
Palabra: __module_registered Frec: 0 LogProb: -14.243397155418775
Palabra: _a3jo Frec: 0 LogProb: -14.243397155418775
Palabra: _best_ Frec: 0 LogProb: -14.243397155418775
Palabra: _class Frec: 0 LogProb: -14.243397155418775
Palabra: _dynamic_ Frec: 0 LogProb: -14.243397155418775
Palabra: _get Frec: 0 LogProb: -14.243397155418775
Palabra: _jms_text_message Frec: 0 LogProb: -14.243397155418775
Palabra: _layouts Frec: 0 LogProb: -14.243397155418775
Palabra: _main Frec: 0 LogProb: -14.243397155418775
Palabra: _menu Frec: 0 LogProb: -14.243397155418775
Palabra: _preparelayout Frec: 0 LogProb: -14.243397155418775
Palabra: _preprocess Frec: 0 LogProb: -14.243397155418775
Palabra: _redirect Frec: 0 LogProb: -14.243397155418775
Palabra: _root_ Frec: 1 LogProb: -13.243397155418773
Palabra: _server Frec: 0 LogProb: -14.243397155418775
Palabra: _session Frec: 0 LogProb: -14.243397155418775
Palabra: _svn Frec: 0 LogProb: -14.243397155418775
Palabra: a Frec: 281 LogProb: -6.10384580301998
Palabra: a1 Frec: 0 LogProb: -14.243397155418775
Palabra: a2 Frec: 0 LogProb: -14.243397155418775
Palabra: aac Frec: 0 LogProb: -14.243397155418775
Palabra: ab Frec: 0 LogProb: -14.243397155418775
Palabra: abandoned Frec: 0 LogProb: -14.243397155418775
Palabra: abc Frec: 0 LogProb: -14.243397155418775
Palabra: ability Frec: 0 LogProb: -14.243397155418775
Palabra: abiltiy Frec: 0 LogProb: -14.243397155418775
Palabra: able Frec: 2 LogProb: -12.658434654697617
Palabra: abort Frec: 0 LogProb: -14.243397155418775
Palabra: about Frec: 7 LogProb: -11.243397155418773
Palabra: abouticondata Frec: 0 LogProb: -14.243397155418775
Palabra: above Frec: 1 LogProb: -13.243397155418773
Palabra: abrecordref Frec: 0 LogProb: -14.243397155418775
Palabra: absence Frec: 0 LogProb: -14.243397155418775
Palabra: absolute Frec: 0 LogProb: -14.243397155418775
Palabra: abstract Frec: 14 LogProb: -10.336506559810255
Palabra: abstractapplicationcontext Frec: 0 LogProb: -14.243397155418775
Palabra: abstractentitytuplizer Frec: 0 LogProb: -14.243397155418775
Palabra: abstraction Frec: 0 LogProb: -14.243397155418775
Palabra: abstracttransactionaljunit4springcontexttests Frec: 0 LogProb: -14.243397155418775
Palabra: abstractview Frec: 0 LogProb: -14.243397155418775
